seed,flip_ratio,ours_sep,ours_rank1,shap_sep,shap_rank1,ensemble_sep,ensemble_rank1,ens_a03_sep,ens_a03_rank1,ens_a05_sep,ens_a05_rank1,ens_a07_sep,ens_a07_rank1
42,1.0,3.1957793033307906,1,1.4270996933610347,1,3.2652390272484717,1,2.332313590891766,1,3.2652390272484717,1,4.644694694004624,1
42,0.3,0.3636702722864603,0,1.8699352033154768,1,1.0,1,1.793675484388738,1,1.0,1,0.42857142857142866,0
123,1.0,1.3022065877838185,1,1.4851884812256717,1,2.477860376847196,1,2.496562520849595,1,2.477860376847196,1,1.9040766231953485,1
123,0.3,1.0093856655290103,1,1.869748762468316,1,1.9742782807356303,1,3.130315490043504,1,1.9742782807356303,1,1.4418117960237833,1
7,1.0,2.368431372549019,1,1.51663254955474,1,3.680731957185226,1,2.6290942551323044,1,3.680731957185226,1,4.749690682402205,1
7,0.3,0.7150659990896677,0,1.6271965702985538,1,1.3212717810110488,1,2.177886761280001,1,1.3212717810110488,1,0.8700709700774157,0
