seed,flip_ratio,round,client_id,gap,is_malicious
42,1.0,1,0,0.1028594122319301,1
42,1.0,2,0,0.018069896743447167,1
42,1.0,3,0,0.015687053216838748,1
42,1.0,4,0,0.014495631453534552,1
42,1.0,5,0,0.26350277998411437,1
42,1.0,6,0,0.2601270849880858,1
42,1.0,7,0,0.2595313741064337,1
42,1.0,8,0,0.2565528196981731,1
42,1.0,9,0,0.25238284352660845,1
42,1.0,10,0,0.2537728355837967,1
42,1.0,11,0,0.2718427323272439,1
42,1.0,12,0,0.5270055599682287,1
42,1.0,1,1,0.33042096902303414,0
42,1.0,2,1,0.004567116759332829,0
42,1.0,3,1,0.2521842732327244,0
42,1.0,4,1,0.0,0
42,1.0,5,1,0.001389992057188233,0
42,1.0,6,1,0.0033756949960285776,0
42,1.0,7,1,0.0009928514694201585,0
42,1.0,8,1,0.0,0
42,1.0,9,1,0.0025814138204924564,0
42,1.0,10,1,0.000595710881652084,0
42,1.0,11,1,0.0017871326449563074,0
42,1.0,12,1,0.0,0
42,1.0,1,2,0.30500397140587765,0
42,1.0,2,2,0.05023828435266087,0
42,1.0,3,2,0.27859412231930103,0
42,1.0,4,2,0.02323272438443208,0
42,1.0,5,2,0.02303415409054807,0
42,1.0,6,2,0.012708498808578217,0
42,1.0,7,2,0.014297061159650515,0
42,1.0,8,2,0.014297061159650515,0
42,1.0,9,2,0.010127084988085788,0
42,1.0,10,2,0.008737092930897555,0
42,1.0,11,2,0.007744241461477369,0
42,1.0,12,2,0.011318506751389984,0
42,1.0,1,3,0.3063939634630659,0
42,1.0,2,3,0.04050833995234315,0
42,1.0,3,3,0.28395552025417,0
42,1.0,4,3,0.0363383637807784,0
42,1.0,5,3,0.025019857029388415,0
42,1.0,6,3,0.018864177918983316,0
42,1.0,7,3,0.01866560762509928,0
42,1.0,8,3,0.012112787926926133,0
42,1.0,9,3,0.009531374106433677,0
42,1.0,10,3,0.015687053216838776,0
42,1.0,11,3,0.0057585385226370245,0
42,1.0,12,3,0.008141382049245444,0
42,0.3,1,0,0.25377283558379665,1
42,0.3,2,0,0.018665607625099306,1
42,0.3,3,0,0.017275615567911046,1
42,0.3,4,0,0.016481334392374897,1
42,0.3,5,0,0.01687847498014297,1
42,0.3,6,0,0.013304209690230356,1
42,0.3,7,0,0.012509928514694207,1
42,0.3,8,0,0.009729944400317714,1
42,0.3,9,0,0.009729944400317714,1
42,0.3,10,0,0.0065528196981731734,1
42,0.3,11,0,0.00694996028594122,1
42,0.3,12,0,0.00536139793486895,1
42,0.3,1,1,0.7118745035742653,0
42,0.3,2,1,0.28316123907863383,0
42,0.3,3,1,0.015091342335186664,0
42,0.3,4,1,0.01310563939634632,0
42,0.3,5,1,0.013105639396346291,0
42,0.3,6,1,0.005162827640984913,0
42,0.3,7,1,0.0049642573471008755,0
42,0.3,8,1,0.004567116759332801,0
42,0.3,9,1,0.001389992057188233,0
42,0.3,10,1,0.0057585385226370245,0
42,0.3,11,1,0.0013899920571882607,0
42,0.3,12,1,0.005162827640984913,0
42,0.3,1,2,0.5764495631453534,0
42,0.3,2,2,0.009729944400317714,0
42,0.3,3,2,0.008935663224781565,0
42,0.3,4,2,0.007148530579825257,0
42,0.3,5,2,0.011119936457505974,0
42,0.3,6,2,0.003971405877680689,0
42,0.3,7,2,0.008141382049245444,0
42,0.3,8,2,0.008935663224781565,0
42,0.3,9,2,0.0057585385226370245,0
42,0.3,10,2,0.004368546465448764,0
42,0.3,11,2,0.004765687053216838,0
42,0.3,12,2,0.006552819698173146,0
42,0.3,1,3,0.5750595710881652,0
42,0.3,2,3,0.0019857029388403447,0
42,0.3,3,3,0.010722795869737872,0
42,0.3,4,3,0.015885623510722785,0
42,0.3,5,3,0.01231135822081017,0
42,0.3,6,3,0.009729944400317714,0
42,0.3,7,3,0.009531374106433677,0
42,0.3,8,3,0.007347100873709295,0
42,0.3,9,3,0.0057585385226370245,0
42,0.3,10,3,0.009928514694201723,0
42,0.3,11,3,0.0019857029388403447,0
42,0.3,12,3,0.0033756949960285776,0
123,1.0,1,0,0.3879310344827586,1
123,1.0,2,0,0.028246515040352166,1
123,1.0,3,0,0.26559060895084374,1
123,1.0,4,0,0.01210564930300806,1
123,1.0,5,0,0.010454878943506968,1
123,1.0,6,0,0.00935436537050624,1
123,1.0,7,0,0.006969919295671312,1
123,1.0,8,0,0.005869405722670584,1
123,1.0,9,0,0.005869405722670584,1
123,1.0,10,0,0.004768892149669857,1
123,1.0,11,0,0.004952311078503302,1
123,1.0,12,0,0.004768892149669857,1
123,1.0,1,1,0.12454145267791637,0
123,1.0,2,1,0.001467351430667646,0
123,1.0,3,1,0.0012839325018342007,0
123,1.0,4,1,0.0027512839325018468,0
123,1.0,5,1,0.0027512839325018468,0
123,1.0,6,1,0.0025678650036683737,0
123,1.0,7,1,0.004218635363169493,0
123,1.0,8,1,0.004402054292002938,0
123,1.0,9,1,0.002934702861335292,0
123,1.0,10,1,0.002934702861335292,0
123,1.0,11,1,0.0027512839325018468,0
123,1.0,12,1,0.001467351430667646,0
123,1.0,1,2,0.00605282465150403,0
123,1.0,2,2,0.03613352898019076,0
123,1.0,3,2,0.026228906823184156,0
123,1.0,4,2,0.02109317681584741,0
123,1.0,5,2,0.021276595744680854,0
123,1.0,6,2,0.022193690388848136,0
123,1.0,7,2,0.011738811445341168,0
123,1.0,8,2,0.014673514306676433,0
123,1.0,9,2,0.019809244314013208,0
123,1.0,10,2,0.008437270726338958,0
123,1.0,11,2,0.014306676449009542,0
123,1.0,12,2,0.012655906089508423,0
123,1.0,1,3,0.3116287600880411,0
123,1.0,2,3,0.05135730007336756,0
123,1.0,3,3,0.041269258987527535,0
123,1.0,4,3,0.027696258253851802,0
123,1.0,5,3,0.023844460748349228,0
123,1.0,6,3,0.0214600146735143,0
123,1.0,7,3,0.02347762289068231,0
123,1.0,8,3,0.015957446808510634,0
123,1.0,9,3,0.015957446808510634,0
123,1.0,10,3,0.014306676449009514,0
123,1.0,11,3,0.014490095377842988,0
123,1.0,12,3,0.01210564930300806,0
123,0.3,1,0,0.5130227439471753,1
123,0.3,2,0,0.03448275862068964,1
123,0.3,3,0,0.010638297872340413,1
123,0.3,4,0,0.01210564930300806,1
123,0.3,5,0,0.015957446808510634,1
123,0.3,6,0,0.013939838591342624,1
123,0.3,7,0,0.010821716801173886,1
123,0.3,8,0,0.010271460014673495,1
123,0.3,9,0,0.010271460014673495,1
123,0.3,10,0,0.006603081438004393,1
123,0.3,11,0,0.00733675715333823,1
123,0.3,12,0,0.005502567865003666,1
123,0.3,1,1,0.45579603815113723,0
123,0.3,2,1,0.04108584005869406,0
123,0.3,3,1,0.01614086573734408,0
123,0.3,4,1,0.007703595011005121,0
123,0.3,5,1,0.008620689655172431,0
123,0.3,6,1,0.009170946441672767,0
123,0.3,7,1,0.005685986793837139,0
123,0.3,8,1,0.0025678650036683737,0
123,0.3,9,1,0.0073367571533382026,0
123,0.3,10,1,0.0025678650036683737,0
123,0.3,11,1,0.0031181217901687375,0
123,0.3,12,1,0.0016507703595011192,0
123,0.3,1,2,0.33730741012472487,0
123,0.3,2,2,0.0011005135730007276,0
123,0.3,3,2,0.0067865003668378665,0
123,0.3,4,2,0.006969919295671312,0
123,0.3,5,2,0.00935436537050624,0
123,0.3,6,2,0.009904622157006604,0
123,0.3,7,2,0.004768892149669829,0
123,0.3,8,2,0.006969919295671312,0
123,0.3,9,2,0.010271460014673522,0
123,0.3,10,2,0.003668378576669129,0
123,0.3,11,2,0.01137197358767425,0
123,0.3,12,2,0.008253851797505485,0
123,0.3,1,3,0.5196258253851798,0
123,0.3,2,3,0.010454878943506968,0
123,0.3,3,3,0.021460014673514327,0
123,0.3,4,3,0.015040352164343379,0
123,0.3,5,3,0.010271460014673495,0
123,0.3,6,3,0.010271460014673522,0
123,0.3,7,3,0.012289068231841505,0
123,0.3,8,3,0.007703595011005149,0
123,0.3,9,3,0.007887013939838594,0
123,0.3,10,3,0.010454878943506968,0
123,0.3,11,3,0.010638297872340441,0
123,0.3,12,3,0.008804108584005849,0
7,1.0,1,0,0.29901574803149605,1
7,1.0,2,0,0.01692913385826772,1
7,1.0,3,0,0.010629921259842523,1
7,1.0,4,0,0.2600393700787401,1
7,1.0,5,0,0.009251968503937003,1
7,1.0,6,0,0.006692913385826782,1
7,1.0,7,0,0.007677165354330717,1
7,1.0,8,0,0.2559055118110236,1
7,1.0,9,0,0.2549212598425197,1
7,1.0,10,0,0.2541338582677165,1
7,1.0,11,0,0.5001968503937008,1
7,1.0,12,0,0.5023622047244094,1
7,1.0,1,1,0.1533464566929134,0
7,1.0,2,1,0.0005905511811023778,0
7,1.0,3,1,0.2511811023622047,0
7,1.0,4,1,0.0005905511811023778,0
7,1.0,5,1,0.0009842519685039353,0
7,1.0,6,1,0.0013779527559054927,0
7,1.0,7,1,0.0013779527559055205,0
7,1.0,8,1,0.0001968503937007926,0
7,1.0,9,1,0.0011811023622047279,0
7,1.0,10,1,0.0013779527559054927,0
7,1.0,11,1,0.0001968503937007926,0
7,1.0,12,1,0.00059055118110235,0
7,1.0,1,2,0.27716535433070866,0
7,1.0,2,2,0.043307086614173235,0
7,1.0,3,2,0.2844488188976378,0
7,1.0,4,2,0.2799212598425197,0
7,1.0,5,2,0.021259842519685046,0
7,1.0,6,2,0.017125984251968485,0
7,1.0,7,2,0.01751968503937007,0
7,1.0,8,2,0.014173228346456679,0
7,1.0,9,2,0.011811023622047251,0
7,1.0,10,2,0.017125984251968512,0
7,1.0,11,2,0.008070866141732302,0
7,1.0,12,2,0.012007874015748016,0
7,1.0,1,3,0.042322834645669286,0
7,1.0,2,3,0.04803149606299212,0
7,1.0,3,3,0.27716535433070866,0
7,1.0,4,3,0.029527559055118113,0
7,1.0,5,3,0.02539370078740158,0
7,1.0,6,3,0.014566929133858264,0
7,1.0,7,3,0.020669291338582668,0
7,1.0,8,3,0.014566929133858264,0
7,1.0,9,3,0.011220472440944873,0
7,1.0,10,3,0.00984251968503938,0
7,1.0,11,3,0.010629921259842523,0
7,1.0,12,3,0.009842519685039353,0
7,0.3,1,0,0.25708661417322837,1
7,0.3,2,0,0.26476377952755903,1
7,0.3,3,0,0.015944881889763785,1
7,0.3,4,0,0.017519685039370098,1
7,0.3,5,0,0.012992125984251951,1
7,0.3,6,0,0.00787401574803151,1
7,0.3,7,0,0.009055118110236238,1
7,0.3,8,0,0.008070866141732275,1
7,0.3,9,0,0.008070866141732275,1
7,0.3,10,0,0.007677165354330717,1
7,0.3,11,0,0.0043307086614172985,1
7,0.3,12,0,0.005118110236220469,1
7,0.3,1,1,0.7200787401574803,0
7,0.3,2,1,0.035433070866141725,0
7,0.3,3,1,0.016535433070866162,0
7,0.3,4,1,0.012401574803149629,0
7,0.3,5,1,0.00905511811023621,0
7,0.3,6,1,0.0047244094488189115,0
7,0.3,7,1,0.007677165354330717,0
7,0.3,8,1,0.004724409448818884,0
7,0.3,9,1,0.0035433070866141836,0
7,0.3,10,1,0.0053149606299212615,0
7,0.3,11,1,0.001771653543307078,0
7,0.3,12,1,0.0037401574803149484,0
7,0.3,1,2,0.2895669291338583,0
7,0.3,2,2,0.008661417322834652,0
7,0.3,3,2,0.014763779527559057,0
7,0.3,4,2,0.012401574803149601,0
7,0.3,5,2,0.00846456692913386,0
7,0.3,6,2,0.006299212598425197,0
7,0.3,7,2,0.00846456692913386,0
7,0.3,8,2,0.007677165354330717,0
7,0.3,9,2,0.004330708661417326,0
7,0.3,10,2,0.010039370078740145,0
7,0.3,11,2,0.004527559055118119,0
7,0.3,12,2,0.007677165354330717,0
7,0.3,1,3,0.5244094488188976,0
7,0.3,2,3,0.2631889763779528,0
7,0.3,3,3,0.004724409448818884,0
7,0.3,4,3,0.010826771653543288,0
7,0.3,5,3,0.012007874015748043,0
7,0.3,6,3,0.006102362204724404,0
7,0.3,7,3,0.012598425196850394,0
7,0.3,8,3,0.007480314960629925,0
7,0.3,9,3,0.0053149606299212615,0
7,0.3,10,3,0.005118110236220469,0
7,0.3,11,3,0.00846456692913386,0
7,0.3,12,3,0.004724409448818884,0
