round,phase,active_task,client_id,client_main,attack,fast_recall
8,1,Fuzzy,1,Fuzzy,gear,0.0
8,1,Fuzzy,2,RPM,DoS,0.0
8,1,Fuzzy,2,RPM,Fuzzy,0.0
8,1,Fuzzy,2,RPM,RPM,0.0
8,1,Fuzzy,2,RPM,gear,0.0
8,1,Fuzzy,3,gear,DoS,0.0
8,1,Fuzzy,3,gear,Fuzzy,0.0
8,1,Fuzzy,3,gear,RPM,0.0
8,1,Fuzzy,3,gear,gear,0.0
9,1,Fuzzy,0,DoS,DoS,0.0
9,1,Fuzzy,0,DoS,Fuzzy,0.3907863383637808
9,1,Fuzzy,0,DoS,RPM,0.0
9,1,Fuzzy,0,DoS,gear,0.0
9,1,Fuzzy,1,Fuzzy,DoS,0.0
9,1,Fuzzy,1,Fuzzy,Fuzzy,0.9062748212867355
9,1,Fuzzy,1,Fuzzy,RPM,0.0
9,1,Fuzzy,1,Fuzzy,gear,0.0
9,1,Fuzzy,2,RPM,DoS,0.0
9,1,Fuzzy,2,RPM,Fuzzy,0.37410643367752183
9,1,Fuzzy,2,RPM,RPM,0.0
9,1,Fuzzy,2,RPM,gear,0.0
9,1,Fuzzy,3,gear,DoS,0.0
9,1,Fuzzy,3,gear,Fuzzy,0.4368546465448769
9,1,Fuzzy,3,gear,RPM,0.0
9,1,Fuzzy,3,gear,gear,0.0
10,1,Fuzzy,0,DoS,DoS,0.0
10,1,Fuzzy,0,DoS,Fuzzy,0.8300238284352661
10,1,Fuzzy,0,DoS,RPM,0.0
10,1,Fuzzy,0,DoS,gear,0.0
10,1,Fuzzy,1,Fuzzy,DoS,0.0
10,1,Fuzzy,1,Fuzzy,Fuzzy,0.9301032565528197
10,1,Fuzzy,1,Fuzzy,RPM,0.0
10,1,Fuzzy,1,Fuzzy,gear,0.0
10,1,Fuzzy,2,RPM,DoS,0.0
10,1,Fuzzy,2,RPM,Fuzzy,0.8054011119936457
10,1,Fuzzy,2,RPM,RPM,0.0
10,1,Fuzzy,2,RPM,gear,0.0
