seed,round,gap,max_gap,is_transition
42,1,0.0625,1.0,1
42,2,0.0,0.0,0
42,3,0.0,0.0,0
42,4,0.0,0.0,0
42,5,0.0,0.0,0
42,6,0.0,0.0,0
42,7,0.0,0.0,0
42,8,0.03261517077045274,0.5218427323272439,1
42,9,0.07347100873709295,0.36139793486894367,0
42,10,0.016679904686258934,0.08975377283558383,0
42,11,0.011169579030976963,0.06751389992057188,0
42,12,0.007744241461477369,0.0428911834789516,0
42,13,0.00675138999205719,0.038919777601270855,0
42,14,0.004219618745035736,0.022239872915011838,0
42,15,0.005758538522637011,0.02938840349483718,1
42,16,0.009928514694201758,0.053216838760921426,0
42,17,0.004815329626687848,0.02779984114376488,0
42,18,0.004616759332803814,0.030182684670373328,0
42,19,0.002432486100079432,0.0214455917394758,0
42,20,0.000744638602065131,0.004765687053216838,0
42,21,0.0005957108816521065,0.003971405877680717,0
42,22,0.014445988880063546,0.06513105639396344,1
42,23,0.01777204130262113,0.0802223987291501,0
42,24,0.010573868149324862,0.04606830818109611,0
42,25,0.004616759332803814,0.020651310563939637,0
42,26,0.0025317712470214453,0.014297061159650515,0
42,27,0.0012410643367752184,0.006354249404289119,0
42,28,0.0012410643367752189,0.00555996822875298,0
42,29,0.0002482128673550435,0.0015885623510722806,0
42,30,0.0003971405877680698,0.002382843526608419,0
123,1,0.0625,1.0,1
123,2,0.0,0.0,0
123,3,0.0,0.0,0
123,4,0.0,0.0,0
123,5,0.0,0.0,0
123,6,0.0,0.0,0
123,7,0.0,0.0,0
123,8,0.04250733675715334,0.6801173881144534,1
123,9,0.06543470286133529,0.31621423330887755,0
123,10,0.019258987527512844,0.09977989728539982,0
123,11,0.011417828319882618,0.05502567865003671,0
123,12,0.004677182685253127,0.02421129860601623,0
123,13,0.0054567131327953045,0.03301540719002205,0
123,14,0.004906456346294934,0.030080704328686703,0
123,15,0.007290902421129869,0.031548055759354376,1
123,16,0.004768892149669846,0.028613352898019084,0
123,17,0.00160491562729273,0.011738811445341168,0
123,18,0.0019717534849596485,0.011005135730007332,0
123,19,0.0014214966984592813,0.010271460014673522,0
123,20,0.0004126925898752746,0.002934702861335292,0
123,21,0.0004126925898752763,0.0036683785766691013,0
123,22,0.07662325752017607,1.0,1
123,23,0.012380777696258255,0.059427732942039624,0
123,24,0.004402054292002934,0.0198092443140132,0
123,25,0.0016049156272927366,0.008070432868672046,0
123,26,0.0006878209831254587,0.0029347028613352904,0
123,27,0.0006419662509170947,0.0029347028613352904,0
123,28,0.00036683785766691124,0.0014673514306676452,0
123,29,0.00032098312545854736,0.0014673514306676452,0
123,30,0.0002751283932501834,0.0014673514306676448,0
7,1,0.0625,1.0,1
7,2,0.0,0.0,0
7,3,0.0,0.0,0
7,4,0.0,0.0,0
7,5,0.0,0.0,0
7,6,0.0,0.0,0
7,7,0.0,0.0,0
7,8,0.03981299212598425,0.6133858267716535,1
7,9,0.07219488188976378,0.31259842519685044,0
7,10,0.018799212598425194,0.09685039370078741,0
7,11,0.0077755905511811135,0.051968503937007915,0
7,12,0.004330708661417326,0.022047244094488216,0
7,13,0.004035433070866137,0.021259842519685046,0
7,14,0.003346456692913377,0.022834645669291276,0
7,15,0.013730314960629923,0.06692913385826771,1
7,16,0.002312992125984254,0.014173228346456679,0
7,17,0.005265748031496063,0.035433070866141725,0
7,18,0.0017716535433070849,0.012598425196850394,0
7,19,0.0018700787401574794,0.011023622047244108,0
7,20,0.0017716535433070866,0.010236220472440938,0
7,21,0.0011318897637795262,0.01102362204724408,0
7,22,0.026476377952755904,0.12047244094488191,1
7,23,0.015895669291338583,0.07637795275590552,0
7,24,0.005265748031496063,0.026771653543307086,0
7,25,0.002263779527559055,0.010236220472440945,0
7,26,0.12613188976377954,1.0,0
7,27,0.0001968503937007874,0.0007874015748031496,0
7,28,0.0002952755905511811,0.0015748031496062992,0
7,29,0.0,0.0,0
7,30,0.0002952755905511811,0.0015748031496062992,0
